station_name,station_type,latitude,longitude,source
Adenauerplatz,u_bahn,52.49999400,13.30728800,VBB GTFS
Adlershof,s_bahn,52.43490650,13.54130300,VBB GTFS
Afrikanische Str.,u_bahn,52.56023500,13.33461200,VBB GTFS
Ahrensfelde Bhf,s_bahn,52.57133450,13.56565150,VBB GTFS
Alexanderplatz Bhf,s_bahn,52.52155450,13.41129150,VBB GTFS
Alexanderplatz Bhf,u_bahn,52.52138683,13.41346983,VBB GTFS
Alt-Mariendorf,u_bahn,52.43987450,13.38745700,VBB GTFS
Alt-Reinickendorf,s_bahn,52.57777600,13.35123500,VBB GTFS
Alt-Tempelhof,u_bahn,52.46538200,13.38564950,VBB GTFS
Altglienicke,s_bahn,52.40733400,13.55883750,VBB GTFS
Altstadt Spandau,u_bahn,52.53882250,13.20638100,VBB GTFS
Amrumer Str.,u_bahn,52.54233200,13.35014500,VBB GTFS
Anhalter Bahnhof,s_bahn,52.50355250,13.38144850,VBB GTFS
Anton-Wilhelm-Amo-Str.,u_bahn,52.51176950,13.38512250,VBB GTFS
Attilastr.,s_bahn,52.44791450,13.36080950,VBB GTFS
Augsburger Str.,u_bahn,52.50037400,13.33638750,VBB GTFS
Babelsberg,s_bahn,52.39138500,13.09279250,VBB GTFS
Baumschulenweg,s_bahn,52.46755633,13.48967733,VBB GTFS
Bayerischer Platz,u_bahn,52.48890975,13.34090125,VBB GTFS
Bellevue,s_bahn,52.51997900,13.34809550,VBB GTFS
Bergfelde,s_bahn,52.67010550,13.32045250,VBB GTFS
Berlin Hauptbahnhof,s_bahn,52.52520400,13.36933350,VBB GTFS
Berlin Hauptbahnhof,u_bahn,52.52525750,13.37014500,VBB GTFS
Berliner Str.,u_bahn,52.48730875,13.33098250,VBB GTFS
Bernau,s_bahn,52.67554750,13.59173750,VBB GTFS
Bernau-Friedenstal,s_bahn,52.66847000,13.56499800,VBB GTFS
Bernauer Str.,u_bahn,52.53729750,13.39674650,VBB GTFS
Betriebsbahnhof Rummelsburg,s_bahn,52.49396900,13.49772400,VBB GTFS
Beusselstr.,s_bahn,52.53440550,13.32938350,VBB GTFS
Biesdorf,s_bahn,52.51308050,13.55618050,VBB GTFS
Biesdorf-Süd,u_bahn,52.49959500,13.54641033,VBB GTFS
Birkenstein,s_bahn,52.51563900,13.64733300,VBB GTFS
Birkenstr.,u_bahn,52.53219150,13.34132250,VBB GTFS
